Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Information,6030 S. Ellis (Edelstone),5/1/15 7:02 AM,5/1/15 7:02 AM,"Elevator oil pump malfunctioned causing gas-like odor in building / CFD, UC Environmental Safety, and Facilities responded / Occupants briefly evacuated from building / No injuries reported",Closed,E00276
Theft,5800 S. Stony Island (Shapiro Hall),5/1/15 11:11 AM,4/1/14 to 5/1/15 12:01 AM to 9:00 AM,Hydrofarm florescent light system taken from basement storage area,Open,E00277
Information / Battery,901 E. 58th St. (Mitchell ER),5/2/15 4:02 AM,5/2/15 4:00 AM,Information relating to a battery report / CPD case HY243822,CPD,E00278
Information / Domestic Battery,5815 S. Maryland (Mitchell Hospital),5/3/15 12:00 PM,5/3/15 10:50 AM,Domestic Battery victim transported from 57th & King Dr. with suspect / Suspect also bit victim on the face as they arrived at hospital / Suspect fled before police arrived / CPD case,CPD,E00279
Information,1442 E. 59th St. (Breckinridge),5/3/15 12:56 PM,5/2/15 at 10:00 AM,Staff member reported a rope tied in the form of a noose was found hanging from a light fixture in first floor housekeeping closet,Open,E00280
Information / Deceptive Practice,6031 S. Ellis (Granville-Grossman RH),5/4/15 2:14 PM,4/19/2015  11:00 AM to 11:00 PM,Deceptive practice investigation / CPD case HY232077,CPD,E00281
Burglary,1414 E. 59th St. (I-House),5/4/15 3:44 PM,5/4/15 12:00 PM to 1:00 PM,Unauthorized individual made unlawful entry to a person's room and took property / Suspect identified / Victim declined to prosecute / Referred,Ex. Cleared / Referred,E00282
Theft,1010 E. 59th St. (Classics),5/5/15 8:56 AM,5/5/15 8:40 AM to 8:55 AM,Unattended laptop computer placed on a chair while being charged was taken from room 21 by an unknown person,Open,E00283
Theft,970 E. 58th St. (Bookstore),5/5/15 3:10 PM,5/5/15 8:15 AM to 8:20 AM,Wallet and iPod left unattended  and unsecured on desk in office taken by an unknown person / Subsequent unauthorized use of credit card reported,Open,E00284
Assist Other Agency / Warrant Arrest,5326 S. Cornell,5/5/15 7:50 PM,5/5/15 7:50 PM,"UCPD officers detained a person wanted on a warrant from Cole County, IL / Turned over to CPD",CPD / Arrest,E00285
Lost Property,5721 S. Maryland (Comer Hospital),5/5/15 10:25 PM,5/5/15 8:20 PM to 9:05 PM,Individual misplaced wallet while in the hospital,Closed,E00286
Found Property,924 E. 57th St. (BSLC),5/6/15 8:25 PM,5/6/15 8:25 PM,Jacket and keys found in room 109 turned over to UCPD for safekeeping,Closed,E00287
Non-Criminal / Fire,1212 E. 59th St. (Ida Noyes),5/7/15 11:59 AM,5/7/15 11:59 AM,Fire in trash container in rear courtyard of the building / Security officer used fire extinguisher to extinguish flames / CFD responded / Believed to be caused by a discarded cigarette / No injuries or property damage reported,Closed,E00288
Mental Health Transport,Harper between 52nd and 53rd,5/7/15 9:45 PM,5/7/15 9:45 PM,Individual transported to hospital by CFD EMS for mental evaluation and treatment,Closed,E00289
Theft,5700 S. Maryland (CCD),5/8/15 11:14 PM,5/8/15 6:00 AM to 7:40 PM,Currency taken from person's unsecured luggage,Open,E00291
Liquor Law Violation,5700 S. University (Public Way),5/9/15 12:11 AM,5/9/15 12:11 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00290
Injured Person,915 E. 60th St. (Logan Center),5/9/15 10:01 PM,5/9/15 8:30 PM,Contract employee fell on steps inside building injuring right shoulder / Treated and released at ER,Closed,E00292
Information,1414 E. 59th St. (I-House),5/10/15 12:38 AM,5/10/15 12:38 AM,Individual transported to ER for evaluation and treatment,Closed,E00293
Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),5/10/15 1:21 AM,5/10/15 1:21 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00294
Information / Disturbance,5630 S. Ellis (Max Palevsky),5/10/15 2:35 AM,5/10/15 2:35 AM,Individual created a disturbance in the hallway / Peace restored,Referred,E00295
Mental Health Transport,5640 S. University (Bartlett Commons),5/10/15 3:05 AM,5/10/15 3:05 AM,Individual transported to ER by CFD EMS for evaluation and treatment,Closed,E00296
Liquor Law Violation,1414 E. 59th St. (I-House),5/10/15 4:19 AM,5/10/15 4:19 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00297
Theft,1116 E. 59th St. (Harper),5/10/15 2:38 PM,5/10/15 2:20 PM to 2:30 PM,"Unattended, unsecured iPhone taken from desktop in 4th floor lobby",Open,E00298
Theft,1126 E. 59th St. (Social Science Research),5/11/15 8:34 AM,5/8/15 9:00 AM to 5:00 PM,Unsecured box containing coins taken from under desk in room 103,Open,E00299
Burglary,1100 E. 57th St. (Regenstein),5/11/15 9:48 AM,5/11/15 9:40 AM to 9:45 AM,"Unattended, unsecured laptop computer and cell phone taken from desk top in 2nd floor cubicle / Follow-up investigation resulted in the arrest of the suspect on 7/7/15",Arrest,E00300
Information,1100 E. 58th St. (Ryerson),5/12/15 12:00 PM,4/30/15 to 5/5/15 6:00 PM to 8:00 AM,Report of suspicious activity,Open,E00301
Warrant Arrest,5730 S. Drexel,5/12/15 7:33 PM,5/12/15 7:33 PM,UCPD officers arrested an individual wanted on 2 warrants from the state of Wisconsin,Arrest,E00302
Theft,5848 S. University (Kelly Hall),5/13/15 1:38 PM,5/12/15 11:00 AM to 12:00 PM,Unattended Nikon camera taken from unsecured room 117,Open,E00303
Theft,5815 S. Maryland (Mitchell Hospital),5/13/15 3:58 PM,5/13/15 3:20 PM to 3:30 PM,"Unattended, unsecured book bag taken from public waiting area",Open,E00304
Assist Other Agency,1500 E. 61st St.,5/13/15 6:53 PM,5/13/15 6:53 PM,"UCPD officer, while assisting CPD on a person with a gun call, found a handgun hidden under an outdoor cooking grill / CPD case HY259059",CPD,E00305
Information / Shots Fired,6200 S. Harper,5/13/15 3:48 PM,5/13/15 3:48 PM,UCPD and CPD officers responded to a call of shots fired / 3 shell casings found at the scene / No injuries or property damage reported,CPD,
Criminal Damage to Vehicle,1111 E. 60th St. (Law School Parking Lot),5/14/15 9:39 AM,5/14/15 9:00 AM to 9:30 AM,"Owner reported several scratch marks, ""key type marks"", on driver's side door of vehicle parked in lot / Suspect was identified but victim declined to prosecute",Ex. Cleared,E00306
Criminal Damage to Property,5640 S. University (Bartlett Commons Quad Area),5/14/15 1:14 PM,5/13/15 to 5/14/15 11:00 PM to 9:00 AM,Unknown person(s) damaged a display set in Quad area,Open,E00307
Information / Traffic Crash,1047 E. Midway Pl,5/14/15 5:15 PM,5/11/15 11:30 AM,Child crossing street struck by a car in the crosswalk / Transported to Comer ER by CFD EMS / Treated and released / CPD case HY255684,CPD,E00308
Information,5841 S. Maryland (Wyler Hospital),5/14/15 8:27 PM,5/14/15 3:00 PM,Investigation of suspicious package,Open,E00309
Fire,1100 E. 58th St. (Ryerson /  Exterior),5/15/15 2:42 PM,5/15/15 2:40 PM,Fire in trash container outside of front entrance to Ryerson lab / Fire extinguished prior to arrival of CFD  / CFD unable to determine cause of the fire / Minor damage to plastic liner of container / No injuries reported,Closed,E00310
Haz Mat Incident,5657 S. Cottage Grove (Parking Structure),5/16/15 2:12 PM,5/16/15 2:12 PM,UCPD and CFD responded to alarm / High level of carbon monoxide detected in basement area / Problem detected / Area vented by CFD and Facilities / No injuries or damage reported,Closed,E00311
Liquor Law Violation,5800 S. Greenwood(Quad),5/16/15 3:01 PM,5/16/15 3:01 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00312
Theft,5730 S. Ellis (Crerar Library Bike Rack),5/16/15 8:50 PM,5/15/15 to 5/16/15 6:00 PM to 8:40 PM,Secured bicycle taken from bike rack,Open,E00313
Medical Call,5540 S. Hyde Park (Broadview),5/16/15 11:02 PM,5/16/15 11:02 PM,Ill person transported to ER by CFD EMS,Closed,E00314
Information / Theft,Blackstone near 53rd,5/17/15 1:00 PM,5/17/15 12:55 PM,Unknown person took victim's purse from a personal shopping cart while walking on the sidewalk off campus /  CPD case HY264022,CPD,
Lost Property,5758 S. Maryland (DCAM),5/18/15 11:49 AM,5/6/15 to 5/7/15 6:00 AM to 2:25 PM,Wallet and medication missing from individual's personal property bag,Closed,E00315
Theft,5757 S. University (Saieh Hall),5/18/15 12:43 PM,5/12/15 4:00 PM to 5:00 PM,"Unattended, unsecured back pack taken from 2nd floor lounge",Open,E00316
Lost Property,5700 S. Maryland (CCD),5/18/15 1:20 PM,5/18/15 12:00 PM,Individual reported misplacing driver's license / License found and returned to owner,Closed,E00317
Information,5800 S. Stony Island (Public Way),5/18/15 1:47 PM,5/15/15 4:00 PM,Delayed report of a suspicious individual,Closed,E00318
Found Narcotics,5700 S. Maryland (CCD),5/18/15 4:20 PM,5/18/15 4:20 PM,Staff member found a package of marijuana in patient's room / Turned over to UCPD for disposal,Closed,E00319
Medical Call,1131 E. 57th St. (Mandel Hall),5/18/15 7:46 PM,5/18/15 7:48 PM,Sick person transported to ER by CFD EMS,Closed,E00320
Theft,5800 S. Greenwood (Main Quad),5/19/15 7:22 AM,5/15/15 to 5/17/15 6:00 AM to 10:00 AM,Landscape acorn shaped finial taken by unknown person(s) / Suspects identified through follow up investigation / Prosecution declined / Referred,Ex. Cleared / Referred,E00321
Information / Att. Armed Robbery,4832 S. Drexel (Public Way),5/19/15 11:05 PM,5/19/15 10:40 PM,Victim shot in the leg by unknown suspect during an attempted armed robbery off campus / Transported to ER for treatment / CPD case,CPD,
Information / Attempt Burglary,Greenwood between 53rd & 54th,5/20/15 10:42 AM,5/20/15 10:40 AM,Unknown suspect attempted to gain entry to an off campus private residence via a rear window / Suspect fled before police arrived / CPD case HY267778,CPD,
Liquor Law Violation,5801 S. Ellis (Public Way),5/21/15 1:47 AM,5/21/15 1:47 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER for evaluation and treatment,Referred,E00322
Burglary,900 E. 57th St. (Knapp Center),5/21/15 3:15 PM,5/21/15 2:58 PM to 3:00 PM,Unattended iPhone taken from desktop in unsecured office,Open,E00323
Information / Burglary,Kimbark between 53rd and 54th,5/21/15 9:36 PM,5/21/15 8:30 AM to 9:20 PM,Unknown person(s) gained entry to off campus private apartment and took computer and TV while residents were away from home / CPD case,CPD,E00324
Information / Aggravated Robbery,5707 S. Harper,5/21/15 10:10 PM,5/21/15 10:05 PM,"Two unknown suspects, implied they had a weapon, took iPhone from victim walking on the sidewalk off campus / No weapon seen / victim reported no injuries / CPD case",CPD,
Theft,5530 S. Ellis (Ratner A.C.),5/22/15 2:24 PM,5/15/15 to 5/22/15 3:15 PM to 12:00 PM,Portable speaker taken from secured locker in locker room,Open,E00325
Information,1020 E. 58th St. (Kent Lab),5/22/15 2:52 PM,5/21/15 to 5/22/15 6:00 PM to 1:00 PM,Exam papers stored in file box in secured office appear to have been disturbed,Closed,E00326
Information / Robbery,1500 E. 55th St. (Public Way),5/23/15 1:10 AM,5/23/15 1:10 AM,Two unknown suspects used force to take iPhone from victim standing on the sidewalk off campus / CPD case,CPD,
Information,5487 S. Hyde Park,5/23/15 5:47 PM,5/23/15 5:47 PM,Complaints of loud party / Peace restored,Closed,E00327
Information / Robbery,Harper between 57th & 58th,5/23/15 10:20 PM,5/29/15 10:15 PM,"Two unknown suspects followed victim into vestibule of off-campus private apartment building taking wallet, watch, and keys to car / Suspects fled in victim's vehicle / Victim reported no injuries / CPD case HY272581",CPD,
Information / Disturbance,5840 S. Maryland (Parking Structure),5/24/15 3:47 PM,5/24/15 3:47 PM,Family members engaged in verbal argument / Peace restored,Closed,E00329
Domestic Battery,5721 S. Maryland (Comer Hospital),5/24/15 5:44 PM,5/24/15 5:40 PM,Patient's mother struck patient's father in the face during the course of an argument / Suspect fled prior to arrival of police,Open,E00330
Information / Armed Robbery,6300 S. Ingleside,5/25/15 3:45 AM,5/25/15 3:40 AM,Two unknown suspects armed with a handgun took an iPhone from a victim walking on the sidewalk off campus / CPD case,CPD,
Burglary,5848 S. University (Beecher Hall),5/25/15 1:16 PM,5/19/15 4:30 PM to 5:00 PM,Laptop taken from unattended book bag in unsecured office,Open,E00331
Theft,1101 E. 56th St. (Max Palevsky Bike Rack),5/25/15 2:29 PM,5/24/15 to 5/25/15 5:15 PM to 2:00 PM,Secured bicycle taken from bike rack,Open,E00332
Criminal Damage to Property,5445 S. Ingleside (Maclean House),5/25/15 3:22 PM,5/25/15 11:00 AM to 3:00 PM,Unknown person(s) scrawled graffiti on exterior door and two exterior walls of a storage shed,Open,E00333
Void,Void,Void,Void,Number generated in error,Void,E00334
Information / Recovered Vehicle,Dorchester at 62nd,5/25/15 10:40 PM,5/25/15 10:40 PM,UCPD officers assisted CPD in recovery of vehicle wanted in connection with a robbery outside of UCPD area / Two suspects taken into custody by CPD / CPD case,CPD,
Theft,5758 S. Maryland (DCAM),5/26/15 11:29 AM,5/26/15 10:55 AM to 11:05 AM,Unattended purse left in washroom was taken by an unknown person,Open,E00335
Information / Aggravated Robbery,5800 S. Harper,5/26/15 9:26 PM,5/26/15 9:20 PM,Two unknown suspects approached victim walking on the sidewalk off campus / Implied they had a weapon - No weapon seen - suspects took victim's iPhone and wallet before fleeing southbound / Victim reported no injuries / CPD case HY286281,CPD,
Burglary,5811 S. Ellis (Cobb Hall),5/27/15 12:12 PM,5/27/15 11:50 AM to 12:10 PM,Laptop taken from desktop in unsecured classroom while occupants vacated the room after a fire alarm activated,Open,E00336
Non-Criminal / Damage to Property,5505 S. Ellis (Parking Structure),5/27/15 2:51 PM,5/27/15 2:45 PM,Parking gate arm lowered causing dent in hood of truck exiting the structure,Closed,E00337
Lost Property,1025 E. 58th St. (Swift Hall),5/27/15 3:39 PM,5/27/15 11:00 AM to 3:00 PM,Individual reported loss of wallet / Last seen while in coffee shop in Swift Hall,Closed,E00338
Information / Burglary,Kimbark between 61st & 62nd,5/28/15 4:04 AM,5/28/15 4:00 AM,"Unknown person(s) gained entry to off campus private residence / Took TV, wallet, laptop, keys / CPD case",CPD,
Theft,5815 S. Maryland (Mitchell Hospital),5/28/15 2:58 PM,5/28/15 1:30 PM to 3:00 PM,"Unattended, unsecured cell phone and iPad taken from patient's room / Cleared by arrest - refer to E00363 6/6/15",Arrest,E00339
Traffic Crash / Property Damage,1500 E. 57th St.,5/28/15 3:30 PM,5/28/15 3:30 PM,UC owned vehicle stopped at intersection was struck by a bicycle / No injuries reported / CPD case HY278573,CPD,E00340
Theft from Person,5758 S. Maryland (DCAM),5/29/15 1:45 PM,5/29/15 1:00 PM,Unknown suspect picked wallet from pocket of victim in 2nd floor hallway,Open,E00341
Void,Void,Void,Void,Number generated in error,Void,E00342
Domestic Battery,5721 S. Maryland (Comer Hospital),5/30/15 2:26 AM,5/30/15 2:15 AM,Mother and father of patient were involved in a physical altercation / Both parties struck the other with fists / Peace restored / Both parties refused prosecution,Ex. Cleared,E00343
No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date,No Incident Reports this date
Theft,1115 E. 58th St. (Walker Bike Rack),6/1/15 12:18 PM,5/31/15 to 6/1/15 8:00 PM to 12:00 PM,Bicycle secured to bike rack taken by unknown person,Open,E00344
Information,5835 S. Kimbark,6/1/15 3:57 PM,6/1/15 3:55 PM,Unknown person used staff member's personal information to file a fraudulent claim with U.S. Social Security Admin. / CPD case,CPD,E00345
Information,1025 E. 58th St. (Swift),6/2/15 2:18 AM,6/2/15 2:18 AM,Three unaffiliated individuals reported tampering with bicycles in bike rack / Subjects were given trespass warnings and sent on their way,Closed,E00346
Non-Criminal Damage to Property,850 E. 63rd St. (Car Wash),6/2/15 8:48 AM,6/2/15 8:00 AM,Rear wiper blade assembly damaged on UC owned vehicle during car wash,Closed,E00347
Criminal Damage to Property,5631 S. Cottage Grove (Parking Structure),6/2/15 7:32 PM,6/2/15 6:45 PM to 7:30 PM,Unknown person(s) spray painted graffiti on north concrete wall of the structure,Open,E00348
Information / Aggravated Robbery,4701 S. Ellis (Public Way),6/3/15 2:11 AM,6/3/15 2:05 AM,"Three unknown suspects implied they had a weapon, no weapon seen, took property from a victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY285724",CPD,
Lost Property,5800 S. University  (Main Quad),6/3/15 8:30 AM,6/2/15 1:00 PM to 1:20 PM,Complainant reports loss of cell phone while riding bicycle through the Main Quad,Closed,E00349
Criminal Damage to Property,5505 S. Ellis (Parking Structure),5/29/15 5:00 PM,5/29/15 8:20 AM to 4:55 PM,"Unknown person(s) scratched ""keyed"" front and rear doors of car parked on 2nd floor of the parking structure",Open,E00350
Information / Armed Robbery,6300 S. Cottage Grove (Public Way),6/3/15 2:33 PM,6/3/15 2:30 PM,"Two unknown suspects, one armed with a handgun, pulled victim into an alley off campus taking cash and an iPhone / Victim reported no injuries / CPD case",CPD,
Lost Property,1414 E. 59th St. (I-House),6/3/15 2:28 PM,6/2/15 to 6/3/15 8:30 PM to 2:35 PM,Individual lost UC ID card while in I-House,Closed,E00351
Criminal Trespass to Land,5801 S. Ellis (Levi Hall),6/3/15 4:09 PM,6/3/15 4:09 PM,Nine individuals barricaded themselves in building and refused to vacate / All subjects were taken into custody and charged,Arrest,E00352
Theft,929 E. 57th St. (GCIS),6/3/15 3:54 PM,6/3/15 10:40 AM to 10:42 AM,Unknown person took laptop computer from unattended back pack left under desk in unsecured office,Open,E00353
Burglary,5530 S. Ellis (Ratner A.C.),6/4/15 8:53 AM,6/3/15 to 6/4/15 5:15 PM to 8:45 AM,Unknown suspect gained unauthorized entry to unsecured office and took two laptop computers taken from desk top,Open,E00354
Information,1212 E. 59th St. (Ida Noyes),6/4/15 3:02 PM,6/1/15 to 6/4/15 9:00 AM to 3:00 PM,Individual believes someone rummaged through papers on desk,Closed,E00355
Void,Void,Void,Void,Number generated in error,Void,E00356
Found Property,5731 S. Drexel (Public Way),6/4/15 6:27 PM,6/4/15 6:00 PM,A bag containing suspect marijuana and a pipe found in bushes / Inventoried at UCPD for disposal,Closed,E00357
Theft,5815 S. Maryland (Mitchell Hospital),6/5/15 9:42 AM,6/5/15 8:20 AM to 9:20 AM,"Unattended, unsecured cell phone taken from patient's room",Open,E00358
Theft,5815 S. Maryland (Mitchell Hospital),6/5/15 10:00 AM,6/5/15 8:45 AM to 9:05 AM,"Unattended, unsecured cell phone taken from patient's room / Cleared by arrest -  refer to E00363 6/6/15",Arrest,E00359
Theft,5815 S. Maryland (Mitchell Hospital),6/5/15 1:34 PM,6/4/15 to 6/5/15 9:00 PM to 9:00 AM,Unsecured wallet taken from drawer in patient's room / cleared by arrest - refer to E00363 6/6/15,Arrest,E00360
Liquor Law Violation,5700 S. Woodlawn (Public Way),6/6/15 2:54 AM,6/6/2015 2:54,Underage individual who had consumed alcoholic beverages fell onto sidewalk causing laceration to head / Transported to ER by CFD EMS for evaluation and treatment,Referred,E00361
Battery,1158 E. 59th St.,6/6/15 11:39 AM,6/6/15 11:10 AM,Individual struck another with fist / Suspect arrested on signed complaint of victim,Arrest,E00362
Theft,5815 S. Maryland (Mitchell Hospital),6/6/15 2:16 PM,6/6/15 1:30 PM to 2:40 PM,"Unattended laptop computer taken from bag in patient's room / Public Safety officers located and detained suspect and recovered laptop / Suspect turned over to and arrested by UCPD / Suspect also had in his possession property taken from previous thefts - E00339. E00359, and E00360 / Suspect charged with four counts of theft",Arrest,E00363
Found Property,5815 S. Maryland (Mitchell Hospital),6/6/15 2:16 PM,6/6/15 2:16 PM,Phone charger cord found among property related to Incident Report E00363 / Owner unknown at this time / Inventoried at UCPD,Closed,E00364
Theft,929 E. 57th St. (Gordon Center),6/7/15 11:13 PM,6/7/15 8:10 PM to 11:00 PM,Bicycle taken from the rear of the Gordon Center,Open,E00365
Theft,1005 E. 60th St. (Burton-Judson Bike Rack),6/8/15 11:16 AM,5/28/15 to 6/8/15  10:00 AM to 11:00 AM,Secured bicycle taken from bike rack,Open,E00366
Theft,5700 S. Maryland (CCD),6/8/15 11:37 AM,6/8/15 9:00 AM to 11:00 AM,"Unattended, unsecured cell phone taken from patient's room",Open,E00367
Theft from Person,1131 E. 57th St. (Mandel Hall),6/8/15 2:26 PM,6/8/15 12:00 PM,Unknown suspect took wallet from victim's pocket while passing through courtyard doorway in Mandel Hall,Open,E00368
Theft,5730 S. Ellis (Crerar Bike Rack),6/9/15 11:44 AM,6/5/15 to 6/6/15 1:00 PM to 9:00 PM,Unknown person took secured bicycle from bike rack,Open,E00369
Information / Theft from Person,Woodlawn at 52nd St.,6/9/15 1:00 PM,6/9/15 1:00 PM,Unknown suspect snatched purse from victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY293969,CPD,
Theft,900 E. 57th St. (Knapp Center),6/10/15 7:26 AM,6/9/15 12:00 PM to 1:00 PM,"Wallet taken from unattended, unsecured book bag in 9th floor work cubicle / Subsequent unauthorized use of credit card reported",Open,E00370
Non-Criminal Damage to Vehicle,5617 S. Maryland (Utility Plant),6/10/15 8:15 AM,6/10/15 8:14 AM,Garage door opened damaging rear hatch of car parked in driveway,Closed,E00371
Theft,Ellis between 54th & 55th,6/10/15 11:25 AM,6/9/15 11:30 AM to1:00 PM,Two UC owned moving carts taken from court way of off campus private apartment building,Open,E00372
Theft,1100 E. 57th St. (Regenstein Bike Rack),6/10/15 1:14 PM,6/6/15 to 6/8/15 10:00 PM to 3:00 PM,Secured bicycle taken from bike rack,Open,E00373
Void,Void,Void,Void,Number generated in error,Void,E00374
Non-Criminal Fire,1131 E. 57th St. (Hutchinson Commons Basement),6/10/15 9:39 PM,6/10/15 9:39 PM,"Faulty electrical cord ignited books and papers in basement storage room 022 / CFD responded and extinguished fire / No injuries reported, minor property damage",Closed,E00375
Theft,5815 S. Greenwood (Main Quad),6/11/15 2:19 PM,6/10/15 to 6/11/15 5:00 PM to 11:00 AM,"Metal ""Archway"" taken by unknown person(s) / Item later recovered / On-going investigation",Open,E00376
Information / Robbery,Harper between 54th & 55th,6/12/15 12:00 PM,6/13/15 10:00 AM,Unknown suspect forcibly took a cell phone and eyeglasses from victim walking on the sidewalk off campus  / CPD case HY297883,CPD,
Criminal Trespass to Land,910 E. 58th St. (Kovler Center),6/12/15 11:09 AM,6/12/15 11:04 AM,UCPD officers arrested an individual after he ignored previous oral and written warnings not to trespass on University property,Arrest,E00377
Lost Property,5758 S. Maryland (DCAM),6/13/15 3:27 PM,6/11/15 1:00 PM to 2:45 PM,Visitor reports losing wallet while in DCAM,Closed,E00378
Burglary,6031 S. Ellis (Granville-Grossman RH),6/13/15 5:03 PM,6/13/15 8:00 AM to 4:00 PM,Unknown person(s) gained unauthorized entry to victim's room taking a bag of personal possessions,Open,E00379
Theft,961 E. 58th St. (Bike Rack),6/13/15 11:14 PM,6/13/15 9:00 AM to 11:00 PM,Secured bicycle taken from bike rack,Open,E00380
Found Property,5445 S. Ingleside (Maclean House),6/14/15 8:42 AM,6/14/15 8:00 AM,Staff member found a small package of cannabis / Turned over to UCPD for proper disposal,Closed,E00381
Information / Disturbance,1447 E. 53rd St.,6/15/15 1:39 AM,6/15/15 1:39 AM,Disagreement over restaurant bill / Peace restored,Closed,E00382
Information,1414 E. 59th St. (I-House),6/15/15 3:04 AM,6/15/15 3:00 AM,Individual without accommodations required assistance / Dean-on-Call notified,Closed,E00383
Theft,924 E. 57th St. (BSLC),6/15/15 11:32 AM,6/15/15 11:00 AM to 11:10 AM,Unattended iPhone taken from meeting room / Phone found and returned to owner,Unfounded,E00384
Theft,5835 S. Kimbark (Lab School Bike Rack),6/15/15 4:46 PM,6/15/15 1:00 PM to 1:15 PM,Secured bicycle taken from bike rack,Open,E00385
Information,6054 S. Drexel,6/16/15 2:04 PM,6/16/15 2:04 PM,Suspected fraudulent check received and inventoried,Closed,E00386
Lost Property,5801 S. Ellis (Levi Bldg.),6/16/15 3:09 PM,5/26/15 to 6/16/15 8:30 AM to 3:00 PM,Laptop computer missing from office,Closed,E00387
Theft,5700 S. Maryland (CCD),6/16/15 8:03 PM,6/16/15 5:00 PM,Unknown person took wallet from unattended purse in café / Subsequent unauthorized use of credit card reported,Open,E00388
Fire,"6020 S, Drexel (Midway Res. Hall - exterior)",6/16/15 9:51 PM,6/16/15 9:51 PM,Fire was reported in a trash dumpster outside of and at the rear of the building / CFD responded and extinguished the fire / Cause of fire was undetermined / No injuries or property damage reported,Closed,E00389
Theft,1100 E. 57th St. (Regenstein),6/17/15 10:23 AM,6/17/15 10:10 AM to 10:15 AM,Unknown person cut cable securing unattended laptop to chair and took computer from 2nd floor,Open,E00390
Burglary,1100 E. 57th St. (Regenstein),6/17/15 10:53 AM,6/17/15 10:05 AM to 10:15 AM,"Unattended, unsecured purse taken from table top on 2nd floor / Follow-up investigation resulted in the arrest of the suspect on 7/7/15",Arrest,E00391
Lost Property,1411 E. 53rd St.,6/17/15 9:18 PM,6/17/15 1:30 PM to 2:30 PM,Keys to UC owned vehicle lost,Closed,E00392
Information,1116 E. 59th St. (Harper Library),6/18/15 8:45 AM,6/18/15 6:40 AM,Staff member reported elevator key is bent and will be replaced,Closed,E00393
Information,5758 S. Maryland (DCAM),6/18/15 8:16 AM,6/17/15 4:45 PM,Individual conveyed verbal threats through a third party,Closed,E00394
Theft,5815 S. Maryland (Mitchell Hospital),6/18/15 10:34 AM,6/17/15 to 6/18/15 11:00 PM to 9:00 AM,Unsecured iPhone taken from patient's room,Open,E00395
Domestic Battery,Greenwood between 52nd & 53rd,6/18/15 10:33 AM,6/18/15 9:15 AM,"Suspect struck, bit, and scratched her boyfriend / Victim declined to prosecute",Ex. Cleared,E00396
Criminal Trespass to Land,5530 S. Ellis (Ratner A.C.),6/18/15 1:06 PM,6/18/15 1:06 PM,Individual ignored previous verbal and written notices not to trespass on University property / Arrested by UCPD officers,Arrest,E00397
Burglary,5414 S. Ridgewood Ct. (Neighborhood Apts.),6/18/15 1:52 PM,6/15/15 to 6/18/15 8:00 PM to 11:00 AM,Unknown person broke lock on basement storage locker taking a TV and speaker system,Open,E00398
Information / Criminal Sexual Abuse,1729 E. 55th St. (Public Way),6/19/15 1:12 AM,6/19/15 1:05 AM,Victim walking on the sidewalk off campus was grabbed by an unknown suspect who fondled victim before fleeing / Victim reported no injuries / CPD case HY307057,CPD,E00399
Theft,6027 S. Ingleside (Grad Student Apts.),6/19/15 8:44 PM,6/19/15 1:40 PM to 8:30 PM,Laptop and currency taken from bedroom during move out,Open,E00400
No Incident Reports this date - 6/20/15,No Incident Reports this date - 6/20/15,No Incident Reports this date - 6/20/15,No Incident Reports this date - 6/20/15,No Incident Reports this date - 6/20/15,No Incident Reports this date - 6/20/15,No Incident Reports this date - 6/20/15
Assist Other Agency / Aggravated Assault,6100 S. Evans (Public Way),6/21/15 3:50 PM,6/21/15 3:50 PM,Suspect fired multiple shots from a handgun at a group of people standing on the corner off campus outside of UCPD patrol area / UCPD officer located and detained suspect at 6132 S. Ingleside / Weapon recovered / Suspect turned over to CPD and taken into custody / No reports of injuries / CPD case HY310321,CPD / Arrest,E00401
Assault,950 E. 59th St. (Billings Cafeteria),6/22/15 2:46 PM,6/22/15 1:30 PM,"After calling attention to two subjects leaving cafeteria without paying for food, victim was threatened by one suspect",Open,E00402
Non-Criminal Damage to Property,5700 S. Maryland (CCD),6/22/15 2:38 PM,6/22/15 2:15 PM,Inner pane of 18 ft. double pane window in 7th floor lobby shattered / No injuries reported / Cause unknown at this time,Closed,E00403
Information,6031 S. Ellis (Granville-Grossman RH),6/22/15 8:31 PM,6/22/15 12:45 PM to 8:20 PM,Mirror in resident's room was broken / Cause unknown,Closed,E00404
Information / Robbery,1009 E. 53rd St. (Public Way),6/22/15 11:12 PM,6/22/15 11:10 PM,"Victim walking off campus was approached by three unknown suspects who took victim's book bag, iPhone and wallet before fleeing southbound on Ellis / Victim reported no injuries / CPD case",CPD,E00405
